,Question,Answer,Sentiment (Positive / Negative / Neutral / Ambiguous)
209713,"What could you have done to improve your learning experience in this course?
","Maybe include a study guide of what will be on the test. I studied and it was a lot of information to get through in short amounts of time.
",Neutral
93730,"What could the instructor do to improve the class?
","Maybe provide more examples for each of the problems rather than just the one used in the lecture.
",Neutral
54698,"Please give feedback on what you found effective about the instructor’s teaching style.
","I liked how she organized the class notes on Dropbox and she went over examples in class.  
",Positive
326234,"Please give suggestions on how this class can be improved.
","Constant miss-spelling of words and marks students heavily if they make the same mistake.
",Negative
353126,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","I love how Professor <Faculty Name> is interesting in learning about her classes generation and keeps us engaged. The work isn’t overwhelming
and it’s fun.
",Positive
248501,"Please give us your comments on the instructor's performance in this course. If you wish, include matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page.
","The class was interesting the professor made the class interesting but I think he should go a little slower and try to explain things more in-
depth. I know going virtual was a new thing for everyone but in the sense of the zoom meetings, he needs to improve a lot more. The
meetings were pretty much non-existent which didn't help with the learning of the content
",Positive
219781,"Please give us your comments on the instructor's performance in this course. If you wish, include such matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page.
","For these  reasons, I have to continue the class just for one reason to graduate this semester and do not want to take just one class in the
summer. I do more than average students in the class but I have opportunity to go back to the past, I would not take this class.
",Negative
495218,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","The class is average, I liked how we were able to use inquizative for this course.
",Neutral
216694,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","I really liked the review of the practice problems and the amount of examples since I think practice problems and working through the
problems helps most.
The posting of the lectures and the annotated notes was very helpful after the transition. I also liked the review of concepts from previous
material that she did periodically since it helped refresh my memory and feel prepared for the quizzes and continue where we left off.
She was very patient with everyone and all their questions and assuring them she would cover it in the next slides when she was
bombarded with questions.
I think she did the transition really well considering the circumstances and being flexible and expressing that we can come to her during
the week or weekend.
",Positive
583351,"(Optional) Please make written comments which you believe may aid the instructor to maintain current high standards or which you
feel will help to improve course. If a grade of C or lower is given to any of the above questions, the instructors would benefit from
written comments.  Please write comments only in box below.
","For a sculpture class that had to switch to online the class still felt very involved and was a lot of fun.
",Positive
370882,"Additional comments:
","One of my favorite professors. Chill, laid back, straight to the point. Exactly what a good professor does
",Positive
389267,"What could you have done to improve your learning experience in this course?
","taking note carefully.
doing homework
",Neutral
538236,"What could the instructor do to improve the class?
","He could make use of offering group discussion.
",Neutral
319580,"What did the instructor do well?
","He was always willing to help and answer students' questions during the lessons.
",Positive
231444,"Additional Comments:
","i was impressed with the ability of the prof to transition to zoom so seamlessly.  out of 4 prof this semester, she was the only one that
provided an updated syllabus due to covid. i appreciated the organization and it helped me a lot.
",Positive
357115,"Please give suggestions on how this class can be improved.
","Class is already perfect in my opinion
",Ambiguous
261569,"What suggestions for improvements do you have?
","Grade assignments in a more timely manner, class could've been a little bit more active especially with the transition to virtual learning.
",Neutral
114017,"You may explain your yes/no answer to question number 4 in the space below.
","Pop culture will play a large role in how I perceive media and technology
",Positive
534866,"Please write any comments in the box below.
",#NAME?,Neutral
14380,"Please provide any comments about the faculty member's teaching ability:
","I appreciate how Mrs. <Faculty Name> tries to make teaching fun by incorporating different teaching styles. You can tell she puts effort into her
lessons and tries to engage us. I also enjoy how she gives us breaks because they are extremely necessary. However, some of her
powerpoints are too long and she does not go over all of the lectures in class, which means most of the time, we have to teach ourselves. 
",Positive
109177,"What did the instructor do well?
","the professor is very organized and has a set schedule of what we're going to be doing in class. He makes sure that we understand the
content we're learning.
",Positive
534434,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","We have weekly reading to understand different views and perspectives of different religion.
",Positive
417811,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","Nothing to improve.
",Ambiguous
318247,"What did the instructor do that you found particularly helpful or worthwhile?
","gave plenty of examples, pulled knowledge and examples from personal experience
",Positive
196249,"Please give suggestions on how this class can be improved.
","Everything was great.
",Positive
388854,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","The instructor met the academic standards by being clear and concise and teaching us a ton about SPSS, as well as some cool new tricks
and tips. Although the class was online, I never felt lost and felt that everything was posted and up long enough for me to complete and
understand.
",Positive
602862,"Additional Comments:
","I wish her the best!! she's a very friendly person and I enjoyed my time in her class
",Positive
253512,"Please write additional comments below.
","I like the way she explains the subject to the class and make it intresting
",Positive
324531,"What could the instructor improve?
","Display his powerpoint when lecturing
",Ambiguous
389325,"What did the instructor do well?
","The professor does a great job showing how to do the work.
",Positive
36611,"Please provide comments explaining how well the instructor did in relating class materials (for example, exams, assignments, and
activities) to the focus of the course.
","Exams: Some questions on the exams so far were not mentioned in class time. (Ex: He would show pictures in class that was related to
the material. Did not tell anybody pictures would be on the exam. Exam had about 60 questions on pictures.)
Assignments: For our term paper, he was not entirely clear on what he wanted us to write about. Gave everyone harsh feedback on rough
draft because no one knew what he wanted. Some comments were inconsistent (ex: Saying a paper needs less analysis, then suddenly
saying there isn't enough analysis. When asked about his comments, he did not give clear answers.)
Activities: Forced the class to do bodily or hand movements to remember some things as if we were a kindergarten class. (Forced us to
",Ambiguous
459006,"List specific things the instructor could do to improve his or her teaching effectiveness.
","I wish the instructor could have done more synchronous meetings instead of only giving students video lectures. With such limited
meetings to understand the topics, I feel like I barely learned anything at all.
",Neutral
138302,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","If the students wouldn’t understand something, he’ll try his best explaining it
",Positive
167944,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","She has powerpoints on her lectures and she teaches very clearly.
",Positive
22000,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Professor <Faculty Name> does have a tendency to go fast on his lectures and sometimes does not leave us time to soak in the information. 
",Positive
388258,"Please give us your comments on the instructor's performance in this course. If you wish, include such matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page
","Professor <Faculty Name> is an absolutely incredible, innovative, and engaged educator. She is deeply passionate and involved in her subject and
cares about her students in a way you rarely experience in college. I loved the discussion-based format, and how often we were able to
have open, honest conversations about our own personal experiences with difficult topics. I'm sad I won't be able to take more courses
with her, but am happy to have had this experience.
",Positive
228811,"Additional comments:
","Her powerpoints and writings were good.
",Positive
377472,"Provide an example and/or an explanation that illustrates your rating in Question 1
","The professor sent weekly reminders about the assignments and reading for the module.
",Positive
105871,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","Overall, administration was fair. If he did not email us the due dates for the next two weeks, he would push back the due date in order to
compensate.
",Positive
281824,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","i learned new material i wasnt aware of
",Ambiguous
199487,"What feedback would you like to provide the instructor about teaching effectiveness and/or course content?
","Thank you for all your support in this class.
",Positive
529622,"Please give us your comments on the instructor's performance in this course. If you wish, include such matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page.
","Professor <Faculty Name>'s overall performance was well. He was very passionate about the subject but would get side-tracked often and
eventually would spend a lot of time talking about something else that did not relate to the subject, and would waste some class time. We
also weren't encouraged to participate during the class so it was hard to stay focused.
",Positive
241221,"You may explain your yes/no answer to question number 1.2 in the space below.
","Dr. <Faculty Name> was always organized and made sure we knew what was coming up the following week so that we were prepared for any
questions.
",Positive
277602,"Please provide comments explaining how organized the instructor was in presenting class materials.
","Very organized and prepared.
",Positive
202575,"What feedback would you like to provide the instructor?
","Thank you.
",Neutral
515543,"List specific things the instructor could do to improve his or her teaching effectiveness.
","3 Green:  1 Red
1 Green : 1 Red : 2 Brown
3 Red: 1 Green
15 Green:  1 Red
",Ambiguous
602100,"List specific things the instructor could do to improve his or her teaching effectiveness.
","To improve she might consider when people aren't responding to her questions it might be because we do not know the material enough to
answer. We are afraid of saying the wrong thing and her reaction being poor.
",Neutral
209808,"What did the instructor do that you found particularly helpful?
","He gave us additional articles and resources that helped us with our research project.
",Positive
402184,"Additional comments about the instructor or course are welcome.
","This was the best CTVA class I've taken! I've learned so much, way more than in other classes. Highly recommend! <Faculty Name> is also very
helpful and there to answer questions about the tv business!
",Positive
450726,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","<Faculty Name> was always making announcements and updating students of any changes throughout the course.
",Positive
561301,"Additional Comments:
","void 2
",Ambiguous
149944,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","The professor readily responded to emails.
",Positive
17896,"Your instructor would like to know your opinion about the textbook and/or other reading materials.
","Text book is good
",Positive
488477,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Overall I enjoyed taking her class and it was a great experience.
",Positive
582174,"What could the instructor do to improve the class?
","easier exams since half the class had bad grades
",Negative
511317,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","Professor <Faculty Name> is pretty engaging and I think a pretty good teacher, however I know some of my peers found him rude and out of pocket
sometimes. I genuinely like open honesty and criticism about my work because I like straight forward feedback, however this class is for
beginners and people not majoring in graphic design so sometimes his grading could be tough on particular assignments. His personal
judgements and preferences get in the way of how he reacts to projects, so he could work on remaining a little more neutral and respect
different creativity. He also sometimes had some oddly worded quiz/exam questions, but if you give him a reason why it was tricky he will
listen and keep an open-mind to giving points back. These are all things he could improve on, but honestly I thought he was a very good
professor that kept things interesting and not so boring all the time. I also liked that he tried to engage with students even though it is
difficult over zoom.
",Positive
237912,"Additional comments about the instructor or course are welcome.
","Professor <Faculty Name> is a good professor. She clearly states what she expects from her students and has adjusted alright to
online classes for the pandemic.
",Positive
536047,"Was this a challenging lab/field experience?
","No.
",Neutral
569085,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","Great class, I really enjoyed the video aspect of the class and I think the structure was very clear and organized. Thank you professor!
",Positive
182912,"Please provide an example and/or explanation that illustrates the extent to which the instructor's lectures were clear and organized.
","Explains each subject well and it corresponds perfectly to the exams.
",Positive
53352,"Are there things you believe your instructor has done especially well and/r poorly in teaching this course?
","2.2)
",Neutral
6737,"Please provide any comments about the faculty member's teaching ability:
","A very good instructor, extremely knowledgeable in the subject matter and helped us critically think every day to help us get the most out of
our clinical experience. His input was always helpful. Thankful to have him as a clinical instructor!
",Positive
12175,"List specific things the instructor could do to improve his or her teaching effectiveness.
","Grading was always behind. For a 101 class, this was too much work associated with it. 
",Negative
294340,"In your opinion, what did the instructor do that you found particularly helpful or worthwhile?
","I liked how she would have videos about the specific dance she was talking about and her vocabulary assignments.
",Positive
3815,"Other comments:
","He is an amazing teacher made me enjoy chemistry a bit more than usual 
",Positive
457237,"Was this a challenging course? Explain.
","Yes it was because if you mess up in an exam it can be difficult to pass the class like me for example. However after trying harder in. The
course I was able to get my grade back up and am hoping I will pass the class with a good grade.
",Negative
567390,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
",".
",Ambiguous
447871,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","The instructor had an unusual grading scale which works in favor of the student that needs extra time to learn the material and course
standards. This method worked for me in terms of understanding the content and learning how to read a math textbook.
",Negative
295045,"List specific things the instructor could do to improve his or her teaching effectiveness.
","I think the instructor was great.
",Positive
198679,"Please provide an example and/or an explanation that illustrates the instructor's academic standards for this course. Please also
provide an example and/or an explanation that illustrates the extent to which the instructor met his/her teaching responsibilities by
starting class on time, being available during office hours, returning assignments promptly and using class time effectively.
","She always starts class right on time and is always available even after class incase some of us have another class during her office hours
",Positive
403154,"Which aspects of this course were particularly effective?
","The professor provided effective feedback and designed fun and interactive group discussions. The quizzes and study guides were great
and the textbook is helpful.
",Positive
372372,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","timing on the exams.
",Ambiguous
298273,"Please provide an example illustrating how rigorous (challenging and maintains high standards) this instructor was.
","There were frequent assignments.
",Positive
574257,"What could the instructor do to improve the class?
","Personal feedback on written tests
",Positive
406664,"What suggestions do you have that might help the instructor increase the learning experience in this course?
","maybe provide pdf versions of text for easy access
",Neutral
259645,"What did the instructor do well?
","He did well in lecturing and explaining the PowerPoint in his own words. I liked the fact that when we asked a question he did not put us
down. He made us feel comfortable to ask a question. He is very respectful and knowledgable on the topic.
",Positive
400460,"Please provide an example illustrating how rigorous (challenging and maintains high standards) this instructor was.
","100/100
",Positive
516275,"Additional Comments:
","Great professor, not a fan of econ but he made it very enjoyable.
",Positive
289394,"What could the instructor do to have improved the course of your learning experience?
","Provide more problem examples for more math based questions.
",Neutral
530894,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","She answers everyone's questions in class and is very loving and caring for her students almost like a mother would for her child she
wants to see everyone do their best
",Positive
243995,"What could the instructor improve?
","Overall, good professor. I really appreciate how you would tell us to not worry, that everything will be okay and we are all in this together.
Transitioning from in-class lectures to zoom classes, was very difficult, but you always made sure we did not panic and stress too much.
",Positive
202446,"Additional comments:
","She is a harsh grader, no willingness to accept late work despite mistakenly uploading files. Assignment was considered late being the
same assignment as a group and presently working in class.
",Negative
509199,"Please provide comments explaining how well the instructor created an environment that encouraged learning.
","As an avid music listener herself, she is very passionate about the content she is learning and as a result, the environment to learn is well-
establised.
",Positive
53889,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","She provided a lot of examples for concepts talked about in class, making it easy to understand. She also encouraged a lot of questions
from the students. However, she often answered too many questions from students that would take away time from the lecture and would
require students to do more work catching up from home. Also, the book was required to answer a few homework problems, but for the
most part could have ben provided with slides to save money, considering how we also needed to purchase an online program that cost
$50.
",Positive
77243,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","Professor <Faculty Name> is very clear with what he expects from us. He also does a great job of presenting the content so directly that it's clear
what will be on the exams. 
",Positive
100642,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","OFTEN mis-graded my assignments in which I would have to point out several mistakes 
",Negative
121449,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","I think the lessons need to be taught at a slower pace and to include more practice problems. Also, solve the problems with the students
and demonstrate it would be very helpful.
",Neutral
564550,"Please give us your comments on the instructor's performance in this course. If you wish, include matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page.
","Dr. <Faculty Name> is an outstanding professor with a passion to teach students on topics that are not only difficult at times but also eye-
opening. He used class time effectively and was also prepared for the course. His assignments were reasonable and the readings were
informative and interesting. I appreciate how he challenges us as students and allows us to connect the topics to personal experiences it is
a great tool. Overall, his performance was wonderful I would take more classes with him and suggest them to other students!
",Positive
106358,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","The course challenged me by participating in thought provoking discussion forums and exams.
",Positive
197414,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","Always very kind and thoughtful. Very understanding and encouraging.
",Positive
475366,"List specific things the instructor has done especially well
","well teaching
",Positive
471395,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","My professor was good at listening to his students and helping them out when needed.
",Positive
396803,"What could you have done to improve your learning experience in this course?
","I wish there was some homework involved.
",Neutral
519757,"7) Do you have other comments?
","Nope.
",Neutral
277415,"What could you have done to improve your learning experience in this course?
","practicing the market more
",Ambiguous
376809,"Additional comments:
","I understand that the grading criteria for the capstone is held to a high standard, but I'm personally a bit frustrated that the final paper is
theoretical. All of the outlines and drafts that were written up were held to an incredibly high standard and I feel like they were expected to
be as close to 100% polished as possible when this is really our first time even writing a theoretical paper. We don't really have guidance
or examples on what a theoretical paper is and I think that it would be easier if we see previous examples.
",Negative
240745,"What did the instructor do that you found particularly helpful?
","The professor provided notes with fill in the blank areas and many in class activities that made class engaging and fun. I enjoyed being
able to not have to rush through writing all my notes because of the fill in the blank slides and as a result, i could pay attention more to
what the professor was saying and supplementing to the slides.
",Positive
482795,"Please provide an example illustrating how the course challenged you by providing new insights into the subject matter through the
use of interpretation, analysis and/or comparison.
","The weekly questions helped to challenge the learning content for that week. The summary questions were a great way to better
understand the material and see how much was actually understand.
",Positive
414318,"Please provide an example and/or explanation that illustrates the extent to which the instructor created an environment suitable for
learning.
","The instructor is available and responds to email very quickly, even if I email them outside of school hours. I didn't expect them to be so
responsive, but they were very responsive and it helped with getting everything I needed very quickly. This instructor knows that school
and work are both being balanced so they tailor their class to make it so that deadlines are flexible for the individual when necessary. This
is especially important because of the coronavirus, which has upended my world in work and school.
",Positive
241549,"5) What do you think were the strongest features of the course?
","The essays
",Neutral
490850,"What could the instructor do to improve the class?
","the class is great. can't think of anything to improve
",Positive
174835,"What did the instructor do well?
","The handbook was nice for studying and following along the lectures.
",Positive
28487,"What did the instructor do well?
","Provide Study Guides that served as a guideline for the exams.
",Neutral
33655,"What were the strongest features of this class?
","<Faculty Name> was a great professor.
",Positive
212232,"Please write any comments you would like to add in the box below.
","Great teacher
",Positive
469159,"Please provide comments explaining how organized the instructor was in presenting class materials.
","The instructor was very organized when he presented lectures they were all easy to understand.
",Positive
133275,"List specific things the instructor has done especially well
","Great notes.
",Neutral
325784,"Please write any comments in the box below.
","Enjoyed lectures and guest speakers’ presentations.
",Positive
492252,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","Thanks for making an abstract subject have a real method.
",Positive
555238,"Please provide comments explaining how organized the instructor was in presenting class materials.
","Very organized, follows the structure of how the book is taught for ease of students, but provided his own opinions separate from the book
to provide different perspectives on music
",Positive
10113,"Additional comments about the instructor or course are welcome.
","I felt like the class organization was confusing and unclear. Also, the dates didn't always match up. 
",Negative
41755,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","Your knowledge of the subject is amazing. You come to class ready to answer any questions we have and ready to teach the material.
",Positive
332646,"What could the instructor improve?
","She should start posting the total grade. The only grade we know are the exams, beside that, we don't know what is our total grade is. She
should speak more slowly.
",Neutral
221536,"Comments:
","Good instructor. Toward the end of the semester, the feedback was slow to get back which is understandable due to the circumstances.
",Neutral
378351,"Additional comments:
","I paid more than $4 k for two graduate classes and please do not cut hours. This class should have almost 3 hours per meeting but the
class ends within 1.5 hour.
",Neutral
484080,"List specific things the lab/field instructor could do to improve his or her teaching effectiveness?
","The instructor could give us more time on the labs.
",Neutral
500951,"Please provide comments explaining how well the instructor related class materials (for example, exams, assignments, and activities)
to the focus of the course.
","Used videos to play music.
",Ambiguous
267507,"Please give feedback on what you liked about the instructor.
","She's a very understanding professor, as an international student, I struggle sometimes with writing essays. The professor understood our
weaknesses and graded us based on how much effort we put in the class.
",Positive
135066,"What did the instructor do well?
","He explained the materials clearly.
",Positive
5463,"Please give suggestions on how this class can be improved.
","Professor spent more times teaching the concepts and terms that appear on the Exams.
",Positive
302939,"Please provide comments explaining how well the instructor created an environment that encouraged learning.
","The instructor engaged with the class and encouraged others to speak up.
",Positive
491904,"What feedback would you like to provide the instructor?
","Class assignments were well-spaced out and it was helpful to read other students’ thoughts in the discussion board.
",Positive
457483,"What could the instructor do to improve the class?
","Take into consideration the amount of time spent outside regular class hours. Perhaps extending the deadline of the group project since it
is difficult for team members to meet outside the class due to other class times and work.
",Neutral
456218,"Would you recommend to other students that they take this lab/field from this instructor? Briefly explain.
","Yes I would recommend him.
",Positive
442351,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","More time during class to review information before and after midterms would be helpful. The half of a class period usually used to allow
students to ask questions about concepts on the exam were great, but could be more useful if more time was provided to ask questions.
",Neutral
232099,"Please write any comments in the box below.
","Professor <Faculty Name> is truly one of the most empathetic professors in the social work department. It is clear that she has the student's
best interest in mind at all times. She fostered a safe environment for students as they shared their successes and worries. Students
looked forward to her class and always left the classroom (in person and virtual) with a sense of relief and joy. I look forward to spending
another year in her classes.
",Positive
183527,"Your instructor would also like to know what specific things you believe might be done to improve his/her teaching of this course.
","Check the xyz website to see if students posted a difficult problem to the forum.
",Neutral
411401,"Your instructor would also like to know if you wish to suggest any specific things you believe might be done to improve his/her teaching
of this course.
","I would have benefited from clearer instruction and a more ""organized"" canvas page. I feel the emphasis or reiteration of things was very
confusing-- underlining or bolding important information is clearer. I feel that it was self teaching/ making us learn from eachothers work,
which I felt was difficult to learn from.
",Positive
598717,"What could the instructor do to have improved the course learning experience?
","Awesome professor with a very professional work ethic. One is able to tell he loves what he does and cares about his students.
",Positive
422214,"7) Do you have other comments?
","I really enjoyed taking this class because of how well organized the professor made it. Also, I've never had a professor record their voice
into the slides. I really enjoyed that because sometimes I get lost in looking at the powerpoint.
",Positive
295638,"Would you recommend that other students take this course from this instructor? Briefly explain.
","No, I do not think that she was a very goos Professor.
",Negative
102681,"Please write your additional comments about the class in the box.  Your constructive comments are appreciated.
","I have enjoyed taking this summer class, however, the material and reading can be overwhelming and excessive with only a week to study
it all. Also, it would be helpful to see what questions we got wrong after getting our grade back from the tests taken online. Overall, the
information in this class was very interesting.  
",Positive
449535,"List specific things the instructor could do to improve his or her teaching effectiveness.
","Maybe holding recorded lectures and posting to further clarify the content that is to be on the knowledge checks and the quizzes. The
notes sometimes did not correlate at all with the quizzes and knowledge checks.
",Neutral
541562,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","Professor <Faculty Name> is an excellent professor who makes the class interesting and engaging
",Positive
582722,"Was this a challenging course? Explain.
","It wasn't as challenging but definitely a lot more work than an easy course. I was still struggling and needing extra help with the professor.
",Positive
162576,"Your instructor would like to know whether there is something you believe he/she has done especially well in his/her teaching of this
course.
","I believe she does well in her grading process. she was a very fast grader and gave us out work promptly on time
",Positive
398955,"Please use the space below to provide additional comments about the instruction in this course. If you wish, include comments about
what you think the instructor has done particularly well, suggestions for possible improvements or changes, and/or explanations for
your responses to the above statements. Thank you.
","As an instructor, Professor Mills did an amazing job. Whenever we had class, it was something I personally looked forward to. Professor
Mills was also a great person at heart, she would always ask how we were doing, how classes are, and always opened up her office to us.
All in all, Professor Mills was a fantastic and caring person and instructor. Thank you for a great semester of English!
",Positive
393496,"What could the instructor do to have improved the course?
","I feel that the instructor should be a little more specific on her study guides to help narrow what needs to be studied for the exams.
",Ambiguous
259941,"Would you recommend this instructor to other students? Why, or why not?
","yes because it is easy to understand
",
417303,"Do you have any suggestions for improving this course?
","The class is very limiting to what the instructor can improve themselves my only complaint is how much material there is for two exams.
Maybe split the two exams into four.
",
548609,"Please provide an example illustrating how rigorous (challenging and maintains high standards) this instructor was.
","Dr. <Faculty Name> constantly expressed his expectations with maintaining the portfolio and what he would be expecting within the essays in his
weekly emails, so not paying attention to those would be detrimental to any student who did not meet these standards.
",
482031,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","I never went to a single class in person. I had to watch the videos and BOY did I wish I was able to join one. His class is such a joy. His
teaching style is right up my alley. When a professor uses real world examples and explains in a LOT simpler terms instead of just
rereading the text it really helps me learn and understand. He was by far the best Professor I could have ever want for this course. I
normally dread courses like this but he really was engaging and kind enough to go at an understandable and bearable pace.
",
193335,"Please provide your specific comments elaborating on your responses and other aspects of your instructor's teaching performance
and/or course.
","She is a great teacher with good projects and grading. One of my favorite classes of the semester
",
127597,"What aspects of the course contributed the most to your learning experience?
","The material available on titanium and the power points helped me with the template and format for this class. Unfortunately, the professor
couldn't help much and his grading wasn't justified.
",
50806,"Your instructor would like to know your opinion about the textbook and/or other reading materials.
","na
",
65897,"Additional Comments:
","Give additional lectures and examples on the IMC material earlier in the course so students can gain a better understanding earlier and
can work on the paper earlier.
",
122075,"Additional Comments:
","I thought the professor was organized and nice over emails. He seemed like a fair professor. I enjoyed the course.
",
486879,"The laboratory administration (for example, grading policy and methods; number, length, and fairness of exams and assignments).
","Grading was fair.
",
340741,"What did the instructor do that you found particularly helpful?
","Since she was also my major advisor, it was easy to keep in contact with her about my major.
",
72482,"Please write any comments in the box below.
","the instructions to the case study paper were a little unclear but she was great at answering any questions regarding the paper. She made
everything that was expected us to know on the exams very clear.
",
254056,"Please provide comments explaining your overall rating of this instructor's effectiveness in this class.
","See above.
",
240625,"What did the instructor do that you found particularly helpful?
","regular emails sent to students
",
584401,"What could the instructor do to improve the class?
","She could teach in smaller sections.
",
392803,"What did the instructor do that you found particularly helpful or worthwhile?
","watched as we performed different skills and gave detailed feedback
",
483544,"Please provide an example illustrating how the professor encouraged questions and/or discussion.
","The professor provided many discussion boards to allow students to exchange interpretations of primary documents.
",
269999,"What aspects of the course contributed the most to your learning experience?
","WileyPlus and powerpoints
",
289249,"What did the instructor do that you found particularly helpful or worthwhile?
","Dr. <Faculty Name> is such a nice woman. She always communicates with us and pauses during lecture to answer any questions we may have. She
sends out reminders for due dates and appropriate assignments. She also removed any late deadline or penalty since quarantine began.
She gave us until the last day of class to submit any work we may have which I truly appreciate. A lot of professors increased workloads
and didn't adjust the course to meet the needs of students. Dr. <Faculty Name> also valued student input by asking what type of lecture we wanted
to do since COVID-19 and what is the best time to take our final.
",
317840,"What feedback would you like to provide the instructor?
","Dr. <Faculty Name> greatly motivated and engaged the class by providing us with relevant material that we can utilize in our classrooms.
The knowledge that I've gained in this course is irreplaceable and I couldn't have asked for a better instructor!
",
327228,"What did the instructor do that you found particularly helpful or worthwhile?
","Enjoyed the different activities we played in class.
",
322048,"What do you think were the strongest features of the course?
","I enjoyed the class lectures where we further discussed and learned context before reading the week's assigned reading and after.
",
600563,"Provide an example and/or an explanation that illustrates your rating in Question 1
","We would get emails about when our grades were updated.
",
509963,"Was this a challenging lab/field experience?
","No, as long as you kept up with lecture, you were fine
",
358026,"Please provide an example and/or an explanation that illustrates your overall rating of this instructor.
","I rated the professor excellent because he was always available and his lectures were easy to follow he makes sure to add as many
examples possible just so that we can understand the idea of the material.
",
244231,"Please provide any comments about the faculty member's teaching ability:
","I enjoyed our teachers enthusiasm for the class.  She was very nice and always present.
",
314652,"What aspects of the course contributed the most to your learning experience?
","No comment
",
38285,"Additional comments:
","Overall great class. Favorite one this semester and it convinced me to pursue a career in big data.
",
285525,"What did the instructor do well?
","Preparation of the class & Organization of the course
",
142936,"Please write your comments, positive and/or negative, that point out specific good or bad features of instruction in this class.  Your
constructive comments can be helpful to the instructor and to the department in improving the quality of instruction.
","The tablets are horrible to use. They are frustratingly slow and hard to type. Students should be given the option to do the assignments on
paper or their own computer.
",
545047,"What could the instructor do to improve the class?
","time effectiveness
",
15300,"You may explain your yes/no answer to question number 4 in the space below.
","Yes, the course challenged me to think a lot about life.
",
204330,"Please give us your comments on the instructor's performance in this course. If you wish, include matters as what you think the
instructor has done well, suggestions for possible changes, or explanations regarding your answers to the questions on the other side
of this page.
","Dr. <Faculty Name> is organized and really cares about making sure students are learning the material. Additionally, Dr. <Faculty Name> want students to
critically think about the concepts and analyze and apply them. I really enjoyed the course.
",
